,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,nb_unique_pos,num_actionable,L0,L1,new_preds
15010,20.0,142673.0,10.0,14084.0,0.0,30.0, Private, Never-married, Other-service, Own-child, White, Female, United-States,10,9960,6.0,2.345257276763715,1
39463,30.0,262994.0,13.0,0.0,0.0,40.0, Private, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1365,9960,2.0,0.3697685524984179,1
5741,46.0,241935.0,7.0,7688.0,0.0,40.0, Private, Divorced, Machine-op-inspct, Not-in-family, White, Male, Puerto-Rico,4154,9960,5.0,2.4200908175491582,1
44111,57.0,190488.0,10.0,0.0,0.0,40.0, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,3419,9960,1.0,0.04434128598396107,1
31416,42.0,91585.0,12.0,0.0,0.0,40.0, Private, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States,1335,9960,3.0,2.070416708420565,1
15212,23.0,304871.0,13.0,10520.0,0.0,45.0, Private, Never-married, Craft-repair, Not-in-family, White, Male, Mexico,55,9960,4.0,1.1573928262981479,1
6861,48.0,167749.0,12.0,0.0,0.0,40.0, Local-gov, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,991,9960,4.0,3.053248408160833,1
32097,26.0,318518.0,9.0,0.0,2471.999999999997,40.0, Self-emp-not-inc, Separated, Craft-repair, Not-in-family, White, Male, United-States,301,9960,4.0,2.6382145119786062,1
27649,30.0,243190.0,15.0,8614.0,0.0,40.0, Private, Never-married, Prof-specialty, Own-child, White, Male, United-States,1383,9960,4.0,0.520503653504689,1
43701,19.0,142738.0,10.0,14084.0,0.0,25.0, Private, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,12,9960,4.0,1.2407700762658338,1
13462,55.0,175127.0,13.0,0.0,0.0,40.0, Self-emp-not-inc, Married-civ-spouse, Sales, Husband, White, Male, United-States,3168,9960,2.0,0.30966325142346945,1
35032,47.0,101825.0,9.0,0.0,0.0,40.0, Private, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,1035,9960,3.0,1.0576917783501694,1
36335,33.0,112305.0,9.0,4386.0,0.0,40.0, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,782,9960,2.0,0.057606724764390604,1
24736,17.0,188758.0,7.0,34094.99999999839,0.0,12.0, Private, Never-married, Adm-clerical, Own-child, White, Male, India,10,9960,5.0,1.6154762539048955,1
10688,58.0,130714.0,13.0,0.0,0.0,55.0, Self-emp-inc, Divorced, Sales, Not-in-family, White, Male, United-States,3347,9960,4.0,0.23942005584706627,1
36852,40.0,162312.0,9.0,4386.0,0.0,40.0, Private, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,3322,9960,2.0,0.0688118912337983,1
28458,23.0,151888.0,13.0,13550.0,0.0,40.0, Private, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,84,9960,3.0,1.1858138998707788,1
40097,35.0,144322.0,12.0,14344.0,0.0,26.999999999999943, Private, Never-married, Adm-clerical, Unmarried, Black, Female, United-States,814,9960,5.0,1.4107647643887578,1
31861,27.0,37753.99999999999,12.0,7688.0,0.0,40.0, Private, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,373,9960,4.0,0.40908153190589763,1
10507,27.0,213921.0000000001,9.0,0.0,1974.000000000004,55.0, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,361,9960,2.0,0.462097510232103,1
45416,29.0,152461.0,13.0,99999.0,0.0,35.0, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,625,9960,4.0,2.2038573831274526,1
8979,34.0,408813.0,15.0,0.0,0.0,50.0, Self-emp-not-inc, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,954,9960,2.0,0.2404637918944061,1
36807,23.0,233280.00000000003,13.0,8614.0,0.0,40.0, Private, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,45,9960,5.0,1.5189379604555309,1
2370,36.0,224531.00000000003,13.0,0.0,0.0,40.0, State-gov, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,2485,9960,2.0,0.30588711912545224,1
4602,40.0,271343.0000000001,10.0,25235.999999999804,0.0,40.0, Private, Separated, Prof-specialty, Unmarried, Black, Female, United-States,1368,9960,4.0,1.3603777373916526,1
33371,46.0,368561.0,15.0,0.0,0.0,50.0, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,4105,9960,2.0,0.5227154242760785,1
17859,28.0,87632.00000000003,9.0,10520.0,0.0,50.0, Private, Divorced, Transport-moving, Not-in-family, White, Male, United-States,878,9960,4.0,1.2083181949424653,1
25962,19.0,282698.0,6.0,7688.0,0.0,60.0, Private, Never-married, Sales, Own-child, White, Male, United-States,15,9960,5.0,1.565639984627744,1
23963,29.0,280617.99999999994,13.0,0.0,1564.000000000002,38.0, Private, Never-married, Sales, Own-child, White, Male, United-States,1068,9960,4.0,1.7229113522388027,1
36502,48.0,70584.0,14.0,4386.0,0.0,45.0, Private, Divorced, Prof-specialty, Not-in-family, White, Male, United-States,3908,9960,3.0,0.2975971614864933,1
