,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,nb_unique_pos,num_actionable,L0,L1,new_preds
15010,,,,,,,,,,,,,,,,,,
39463,30,331133,14,0,0,40, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,18.0,214.0,3.0,1.390298966940843,1.0
5741,46,185846,10,7074,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,78.0,138.0,6.0,3.6519280709169655,1.0
44111,57,142304,10,-2,0,40, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,32.0,112.0,3.0,1.0117363698046085,1.0
31416,42,173966,13,-2,0,40, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,23.0,93.0,6.0,3.081324003789483,1.0
15212,23,305984,13,97773,0,40, Private, Never-married, Sales, Not-in-family, White, Male, United-States,2.0,124.0,5.0,3.9781575420791215,1.0
6861,48,185587,13,0,0,40, Private, Married-civ-spouse, Adm-clerical, Husband, White, Female, United-States,5.0,38.0,6.0,4.107837139031905,1.0
32097,26,153382,14,100237,0,40, Private, Never-married, Sales, Not-in-family, White, Male, United-States,4.0,133.0,5.0,3.376803932849865,1.0
27649,30,207288,13,2,0,50, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,15.0,186.0,5.0,2.2411604132562326,1.0
43701,,,,,,,,,,,,,,,,,,
13462,55,131851,10,0,0,40, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,43.0,117.0,3.0,1.0803614939680286,1.0
35032,47,265202,10,-2,0,21, Private, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,6.0,54.0,5.0,1.3268361529164816,1.0
36335,33,222272,12,1,0,40, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,16.0,96.0,3.0,0.2882138692644988,1.0
24736,,,,,,,,,,,,,,,,,,
10688,58,155960,9,14222,0,51, Self-emp-not-inc, Divorced, Sales, Not-in-family, White, Male, United-States,28.0,103.0,5.0,1.3955111845202457,1.0
36852,40,206703,9,0,0,48, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,67.0,203.0,3.0,1.1366408187695827,1.0
28458,,,,,,,,,,,,,,,,,,
40097,35,52033,10,100950,0,40, Private, Never-married, Sales, Unmarried, White, Female, United-States,20.0,93.0,5.0,3.070661141332507,1.0
31861,27,260921,10,0,1828,40, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,5.0,159.0,4.0,1.5759694576749066,1.0
10507,27,315968,13,1,0,46, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,3.0,168.0,5.0,1.436537895877259,1.0
45416,29,344656,10,1,1839,40, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,8.0,77.0,6.0,2.6071974596253775,1.0
8979,34,203704,14,99689,0,40, Self-emp-not-inc, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,18.0,80.0,5.0,2.2681025958740118,1.0
36807,,,,,,,,,,,,,,,,,,
2370,36,164550,13,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,38.0,197.0,4.0,2.2680587642109957,1.0
4602,40,167716,13,7639,0,40, Private, Separated, Adm-clerical, Unmarried, Black, Female, United-States,22.0,75.0,4.0,1.371873714323869,1.0
33371,46,245764,14,3074,0,53, Private, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,67.0,151.0,5.0,1.506365502596216,1.0
17859,28,40688,13,95585,0,48, Self-emp-not-inc, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,5.0,168.0,6.0,3.3142662069843167,1.0
25962,19,127526,13,100284,0,40, Private, Never-married, Sales, Own-child, White, Male, United-States,1.0,104.0,4.0,2.459259725877057,1.0
23963,29,124638,13,0,0,43, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,22.0,178.0,5.0,2.326099921127738,1.0
36502,48,387642,14,0,0,40, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,58.0,118.0,4.0,2.318083013253889,1.0
9644,,,,,,,,,,,,,,,,,,
23696,29,170025,13,0,0,45, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,12.0,180.0,4.0,1.5130221247850977,1.0
30469,27,39718,9,1,1880,40, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,5.0,165.0,6.0,2.784745049113054,1.0
9061,,,,,,,,,,,,,,,,,,
19854,26,60614,14,97437,0,51, Self-emp-inc, Never-married, Sales, Not-in-family, White, Male, United-States,3.0,146.0,6.0,3.362215573419718,1.0
10259,45,122036,14,1,0,49, Private, Divorced, Prof-specialty, Not-in-family, White, Male, United-States,83.0,157.0,5.0,1.391056389920219,1.0
38613,41,412717,13,14914,0,40, Private, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,40.0,118.0,7.0,4.291473612968587,1.0
45565,,,,,,,,,,,,,,,,,,
6852,32,207281,13,1,0,51, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,26.0,218.0,6.0,2.7499195537401864,1.0
