,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember,nb_unique_pos,num_actionable,L0,L1,new_preds
3668,545.0,44.0,2.0,164113.03999999998,1.0,100236.02,Germany,Female,0,0,6120,10000,3.0,0.5669958977981207,1
7436,511.0,57.0,6.0,191665.21000000005,1.0,9445.419999999996,Germany,Female,1,0,3402,10000,3.0,0.6967028131760404,1
538,592.0,62.0,5.0,108166.09,2.0,125660.99,Germany,Female,0,1,3014,10000,4.0,0.95361815067098,1
8343,513.0,49.0,4.0,171601.27,1.0,169303.65,Germany,Female,1,0,3011,10000,4.0,1.3348821273537106,1
4064,572.0,39.0,10.0,129674.89,2.0,51752.18,Germany,Male,1,1,8285,10000,4.0,0.4531701884827612,1
1253,665.0,55.0,8.0,180075.21999999997,2.0,133167.11,Germany,Female,1,0,2272,10000,4.0,0.9937842819151933,1
7155,535.0,45.0,7.0,141786.78,2.0,75888.64999999998,Germany,Male,1,1,6245,10000,4.0,0.6394482306262607,1
9084,662.0,47.0,6.0,0.0,2.0,7330.589999999998,Spain,Female,1,0,3708,10000,3.0,0.5051577131495507,1
1147,582.0,29.0,5.0,102088.68,2.0,138490.03,Germany,Female,1,0,8388,10000,4.0,0.37631415318771855,1
1418,511.0,40.0,9.0,84764.79000000001,1.0,14828.540000000008,Germany,Female,1,0,8036,10000,3.0,0.23452509445383454,1
376,559.0,45.0,10.0,111760.4,2.0,109184.24,Germany,Male,1,1,6236,10000,4.0,0.7931632090348207,1
4194,785.0,54.0,9.0,76915.4,1.0,189992.97,Germany,Female,1,1,2297,10000,3.0,0.5364876219736187,1
2614,565.0,58.0,3.0,108888.24,2.0,135875.51,Germany,Female,1,1,3113,10000,5.0,1.7493406711501487,1
563,516.0,46.0,1.0,0.0,2.0,21312.15999999997,France,Female,1,0,4342,10000,3.0,0.5971445331857255,1
3949,528.0,43.0,5.0,96748.89,1.0,98348.66,Germany,Male,0,0,7729,10000,3.0,0.43163213134820777,1
2110,697.0,48.0,1.0,170833.46,1.0,21834.40000000001,Germany,Female,1,1,3165,10000,4.0,1.1714848146036845,1
9917,699.0,53.0,8.0,155059.1,1.0,131473.31,Germany,Male,0,1,3194,10000,3.0,0.3188264121587534,1
2955,567.0,46.0,2.0,0.0,1.0,104469.06,France,Female,1,1,4365,10000,3.0,0.39156938187169343,1
2698,597.0,28.0,5.0,0.0,2.0,174825.57,France,Female,1,0,7866,10000,3.0,0.3770371329053482,1
3703,738.9999999999999,40.0,5.0,177997.06999999998,1.0,179978.67999999996,Germany,Male,1,1,8492,10000,3.0,1.3817840022390318,1
2124,658.0,32.0,7.0,165798.1,2.0,135171.6,France,Male,0,0,8792,10000,4.0,1.1567867587936007,1
4822,726.0,32.0,2.0,0.0,2.0,174431.01000000004,France,Female,0,1,8470,10000,3.0,0.7310530100784634,1
3639,671.0,48.0,8.0,101198.01,2.0,168035.62000000002,Germany,Female,1,0,3182,10000,4.0,0.5492736491540499,1
8305,817.0,58.0,3.0,0.0,2.0,83172.19,France,Male,1,1,4527,10000,3.0,0.48947792270258067,1
5481,669.0,44.0,1.0,153393.18,1.0,164038.07,Germany,Female,0,1,6084,10000,3.0,0.7861584255710468,1
6516,607.0,32.0,5.0,0.0,2.0,10899.630000000005,Spain,Female,0,1,8318,10000,3.0,0.534459054995163,1
7477,605.0,56.0,0.0,123544.0,1.0,106918.67,France,Female,0,1,2611,10000,4.0,1.4154603857553134,1
7962,619.0,56.0,3.0,159441.26999999996,1.0,40333.94,Germany,Female,0,1,2625,10000,3.0,0.2126276813988613,1
5359,707.0,42.0,1.0,150844.94,1.0,25333.03,Germany,Male,1,1,7742,10000,3.0,0.18913452098292377,1
