,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y_true,y_pred
30371,23,260617,6,0,0,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0,0
30315,42,276218,9,0,0,40, Private, Married-civ-spouse, Sales, Wife, White, Female, United-States,1,0
2958,40,220609,10,0,0,40, Private, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,0,0
19808,32,207400,9,0,0,40, Private, Never-married, Machine-op-inspct, Unmarried, Black, Female, United-States,0,0
23926,59,118358,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1,0
5125,20,216972,9,0,0,30, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0,0
19110,41,210844,10,0,0,40, Private, Married-spouse-absent, Sales, Unmarried, Black, Female, United-States,0,0
3081,35,144322,9,0,0,40, Private, Divorced, Machine-op-inspct, Unmarried, White, Female, United-States,0,0
48337,27,335878,12,0,0,45, Private, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States,0,0
29732,44,370502,9,0,0,25, Private, Married-civ-spouse, Other-service, Husband, White, Male, Mexico,0,0
37823,33,198452,13,5455,0,40, Private, Separated, Tech-support, Unmarried, White, Female, United-States,0,0
9993,64,61892,9,0,0,15, Private, Widowed, Priv-house-serv, Not-in-family, White, Female, United-States,0,0
7641,31,455995,10,0,0,65, Self-emp-inc, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,1,0
1400,40,260696,9,0,0,40, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0,0
47111,26,122485,9,4416,0,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0,0
29076,19,198320,9,0,0,45, Private, Never-married, Other-service, Not-in-family, White, Female, United-States,0,0
9300,42,126098,9,0,0,40, Private, Separated, Craft-repair, Unmarried, Black, Female, United-States,0,0
44980,50,81253,9,0,0,30, Private, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female, United-States,0,0
8964,22,199266,13,0,0,30, Private, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0,0
34162,30,381030,10,0,0,40, Private, Never-married, Craft-repair, Not-in-family, Black, Male, United-States,0,0
42649,33,272669,12,0,0,30, Private, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male, Hong,0,0
10695,54,21698,13,0,0,40, Federal-gov, Divorced, Exec-managerial, Unmarried, White, Female, United-States,0,0
47950,26,305129,7,0,0,45, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
25154,35,78247,11,0,0,50, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
8299,23,121313,9,0,0,40, Self-emp-not-inc, Never-married, Craft-repair, Own-child, White, Male, United-States,0,0
35374,26,223558,9,0,0,40, Private, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Female, United-States,0,0
26496,26,206600,7,0,0,30, Private, Never-married, Other-service, Other-relative, White, Male, Mexico,0,0
15204,28,606111,16,0,0,60, Private, Never-married, Prof-specialty, Not-in-family, White, Female, Germany,1,0
5206,22,41763,10,0,0,25, Private, Never-married, Other-service, Not-in-family, White, Male, United-States,0,0
1203,44,344060,13,0,0,40, Private, Never-married, Other-service, Not-in-family, White, Male, United-States,1,0
37873,29,221366,10,0,0,40, Private, Never-married, Transport-moving, Not-in-family, White, Male, United-States,0,0
35970,35,123939,9,0,0,40, Local-gov, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0,0
56,46,216666,3,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico,0,0
16532,18,335665,7,0,0,24, Private, Never-married, Other-service, Other-relative, Black, Female, United-States,0,0
11825,20,174714,10,0,0,20, Private, Never-married, Other-service, Own-child, White, Male, United-States,0,0
6365,50,370733,9,0,0,40, Local-gov, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States,0,0
33957,24,103277,11,0,0,40, Private, Never-married, Prof-specialty, Own-child, White, Female, United-States,0,0
1553,24,213977,10,0,0,40, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0,0
19677,29,195520,14,0,0,40, Local-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0,0
32537,30,345898,9,0,0,46, Private, Never-married, Craft-repair, Not-in-family, Black, Male, United-States,0,0
35980,21,402124,11,0,0,40, Private, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,0,0
2985,23,161708,13,0,0,30, Private, Never-married, Other-service, Own-child, White, Female, United-States,0,0
19020,29,232666,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0,0
16611,53,194791,9,0,0,45, Private, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0,0
32471,28,185647,10,0,0,50, Private, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States,0,0
36429,38,101387,9,0,0,43, Private, Married-civ-spouse, Other-service, Wife, White, Female, United-States,0,0
46845,33,393702,11,0,0,40, Private, Divorced, Prof-specialty, Unmarried, White, Female, United-States,0,0
33886,64,135527,11,0,0,40, Private, Divorced, Tech-support, Not-in-family, White, Female, United-States,0,0
44585,21,133582,3,2176,0,36, Private, Never-married, Farming-fishing, Not-in-family, White, Male, Mexico,0,0
30245,18,251923,7,0,0,15, Private, Never-married, Sales, Own-child, White, Female, United-States,0,0
28867,20,282604,10,0,0,20, Private, Never-married, Handlers-cleaners, Other-relative, White, Male, United-States,0,0
18516,17,194612,7,0,0,25, Private, Never-married, Other-service, Own-child, White, Male, United-States,0,0
7498,74,211075,9,0,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1,0
35432,46,195416,13,0,0,44, Private, Never-married, Prof-specialty, Not-in-family, Black, Female, United-States,1,0
25354,65,89681,14,0,0,99, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0,0
4532,25,64671,9,0,0,40, Private, Divorced, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female, Philippines,0,0
14196,23,203076,10,0,0,40, Private, Never-married, Machine-op-inspct, Own-child, White, Male, United-States,0,0
23082,38,184456,9,3464,0,80, Self-emp-not-inc, Married-civ-spouse, Other-service, Husband, White, Male, Italy,0,0
43642,23,61777,13,2580,0,40, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,0,0
2722,19,275889,7,0,0,40, Private, Never-married, Handlers-cleaners, Own-child, White, Male, Mexico,0,0
8430,26,162872,12,0,0,40, Private, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0,0
