RowNumber,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember,y_true,y_pred
3669,666,44,2,122314.5,1,68574.88,Germany,Female,0,0,0,0
7437,646,57,6,90212.0,1,13911.27,Germany,Female,1,0,0,0
539,564,62,5,114931.35,3,18260.98,Germany,Female,0,1,0,0
8344,849,49,9,132934.89,1,171056.65,Germany,Female,1,0,0,0
4065,626,39,10,132287.92,3,51467.92,Germany,Male,1,1,0,0
1254,499,55,4,126817.65,2,123269.71,Germany,Female,1,0,1,0
7156,515,45,7,120961.5,3,39288.11,Germany,Male,1,1,0,0
9085,686,47,6,0.0,1,32080.69,Spain,Female,1,0,0,0
1148,593,29,5,101713.84,3,134594.99,Germany,Female,1,0,1,0
1419,521,40,9,134504.78,1,18082.06,Germany,Female,1,0,1,0
377,745,45,10,117231.63,3,122381.02,Germany,Male,1,1,0,0
4195,572,54,9,97382.53,1,195771.95,Germany,Female,1,1,1,0
2615,546,58,3,106458.31,4,128881.87,Germany,Female,1,0,0,0
564,509,46,1,0.0,1,71244.59,France,Female,1,0,0,0
3950,554,43,5,99906.89,1,24983.39,Germany,Male,0,0,1,0
2111,722,48,10,138311.76,1,3472.63,Germany,Female,1,1,0,0
9918,635,53,8,117005.55,1,123646.57,Germany,Male,0,1,0,0
2956,577,46,1,0.0,1,158750.53,France,Female,1,1,1,0
2699,586,28,5,0.0,3,170487.4,France,Female,1,0,0,0
3704,739,40,5,149131.03,3,60036.99,Germany,Male,1,1,0,0
2125,704,32,7,127785.17,4,184464.7,France,Male,0,0,0,0
4823,745,32,2,0.0,4,179705.13,France,Female,0,1,0,0
3640,680,48,8,115115.38,1,139558.6,Germany,Female,1,0,0,0
8306,746,58,3,0.0,3,80344.96,France,Male,1,1,0,0
5482,577,44,1,152086.15,1,44719.5,Germany,Female,0,1,0,0
6517,607,32,7,0.0,3,10674.62,Spain,Female,0,1,1,0
7478,677,56,0,119963.45,1,158325.87,France,Female,0,0,0,0
7963,634,56,3,116251.24,1,42429.88,Germany,Female,0,1,0,0
5360,684,42,1,117691.0,1,23135.65,Germany,Male,1,1,0,0
4355,558,45,4,0.0,1,131807.14,Spain,Male,1,0,1,0
2150,836,57,4,101247.06,1,37141.62,Spain,Male,1,0,0,0
7143,612,63,2,131629.17,2,122109.58,Spain,Female,1,0,0,0
3922,567,59,3,0.0,2,25843.7,France,Male,1,0,0,0
8178,678,40,8,128644.46,1,167673.37,Germany,Female,0,0,1,0
2543,549,41,9,95020.8,3,131710.59,Germany,Male,1,1,0,0
4072,850,54,4,120952.74,1,66963.15,Spain,Female,1,0,1,0
3783,431,44,2,138843.7,1,37688.31,Germany,Female,1,0,0,0
857,567,49,5,134956.02,1,93953.84,Germany,Female,1,0,0,0
2363,709,45,4,122917.71,1,11.58,Germany,Male,1,1,0,0
9690,698,57,9,111359.55,2,105715.01,France,Female,1,0,1,0
6081,659,42,2,0.0,1,162734.31,Spain,Female,0,0,0,0
3146,482,48,2,69329.47,1,102640.52,Germany,Female,0,0,0,0
1072,695,52,8,103023.26,1,22485.64,Germany,Male,1,1,1,0
7301,669,45,1,123949.75,1,110881.56,Germany,Male,0,0,1,0
5834,656,49,9,97092.87,1,74771.22,Germany,Female,1,0,0,0
6326,743,59,5,108585.35,1,192127.22,Germany,Male,1,1,0,0
6222,513,45,0,164649.52,3,49915.52,France,Female,1,0,0,0
9526,618,46,6,150213.71,1,120668.46,France,Female,1,0,0,0
5701,447,41,3,0.0,4,197490.39,France,Male,1,1,0,0
9166,663,46,2,141726.88,1,58257.23,Germany,Female,1,1,1,0
9045,560,47,1,0.0,1,128882.66,Spain,Male,0,0,0,0
5407,516,47,6,109387.33,1,121365.45,France,Female,0,0,1,0
5928,577,43,3,127940.47,1,125140.72,Germany,Female,0,0,0,0
6256,547,55,4,111362.76,3,16922.28,Germany,Male,1,0,0,0
4221,589,45,1,0.0,1,125939.22,Spain,Female,0,0,0,0
587,621,53,9,170491.84,1,35588.07,Spain,Male,1,0,0,0
1019,850,45,5,103909.86,1,60083.11,Germany,Female,1,0,0,0
6912,705,54,3,125889.3,3,96013.5,Germany,Female,1,0,0,0
2992,584,49,8,172713.44,1,113860.81,France,Male,1,0,1,0
9835,516,46,6,62212.29,1,171681.86,France,Female,0,1,0,0
3131,795,56,5,0.0,1,35418.69,Spain,Female,1,0,0,0
2733,623,48,1,108076.33,1,118855.26,Germany,Female,1,0,0,0
4871,648,43,1,107963.38,1,186438.86,Germany,Female,0,0,0,0
9394,670,43,9,111677.88,1,178827.3,Germany,Male,1,0,0,0
2749,401,48,8,128140.17,1,175753.55,Germany,Male,1,0,0,0
1223,536,46,1,65733.41,1,61094.53,France,Male,1,0,1,0
9103,445,61,2,137655.31,1,29909.84,Germany,Female,0,1,1,0
2674,601,50,2,115625.07,1,185855.21,France,Male,1,0,1,0
3899,662,59,2,104568.41,1,8059.44,Germany,Male,1,0,0,0
9647,850,71,10,69608.14,1,97893.4,Spain,Male,1,0,0,0
7488,651,56,4,0.0,1,84383.22,France,Female,0,0,0,0
6217,479,47,1,0.0,1,95270.83,France,Male,1,0,1,0
8104,479,51,1,107714.74,3,86128.21,Germany,Male,1,0,0,0
1112,833,59,1,130854.59,1,30722.52,Germany,Male,1,1,0,0
7019,805,50,9,130023.38,1,62989.82,Germany,Male,1,0,0,0
6232,631,48,1,106396.48,1,150661.42,Germany,Male,1,1,0,0
2211,673,34,1,127122.79,3,76703.1,Germany,Female,0,1,1,0
7153,529,46,8,0.0,1,126511.94,France,Male,0,0,0,0
6608,673,41,9,98612.1,1,151349.35,Germany,Female,1,0,1,0
468,816,38,5,130878.75,3,71905.77,Germany,Female,1,0,0,0
744,611,49,2,88915.37,3,161435.02,France,Female,0,0,0,0
401,605,52,1,63349.75,1,108887.44,France,Male,1,0,1,0
1154,755,45,7,135643.0,1,143619.52,Germany,Female,0,0,0,0
3551,647,51,4,131156.76,1,29883.63,Germany,Male,1,0,1,0
7059,624,71,4,170252.05,3,73679.59,France,Female,1,1,0,0
6969,510,50,7,123936.54,1,23768.01,Germany,Female,1,1,1,0
7092,600,53,7,106261.63,1,93629.66,Germany,Male,1,0,0,0
7637,517,59,8,154110.99,2,101240.08,Germany,Female,1,0,0,0
4419,682,47,10,134032.01,1,144290.97,Spain,Female,1,0,1,0
711,540,48,0,148116.48,1,116973.48,France,Male,0,0,1,0
9352,718,63,7,123204.88,1,100538.8,Germany,Male,1,1,1,0
1047,807,42,1,0.0,1,16500.66,Spain,Female,1,0,0,0
4346,720,46,3,97042.6,1,133516.51,Germany,Male,1,1,0,0
3338,579,56,4,99340.83,1,4523.74,Spain,Male,0,0,0,0
922,609,61,1,0.0,1,22447.85,Spain,Male,1,0,0,0
9588,719,76,10,95052.29,1,176244.87,Germany,Female,1,0,1,0
380,687,39,2,0.0,3,188150.6,Spain,Female,0,0,0,0
7472,658,55,8,119327.93,1,119439.66,Germany,Female,0,1,1,0
4077,672,50,1,0.0,1,12106.82,France,Female,1,0,0,0
1211,711,51,7,0.0,3,38409.79,France,Male,1,0,0,0
