,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y
8624,32,282611,13,0,0,40, Private, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
28487,45,192323,12,0,0,66, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, Yugoslavia,0
33913,45,144086,7,0,0,50, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
14435,39,168355,9,0,0,70, Self-emp-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
41844,51,187686,9,0,0,38, State-gov, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
6152,46,236827,5,0,0,40, Local-gov, Separated, Other-service, Unmarried, Black, Female, United-States,0
4120,54,306985,10,0,0,40, Private, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
41017,37,182148,13,0,0,39, Private, Never-married, Other-service, Not-in-family, White, Male, United-States,0
3644,25,333677,5,0,0,45, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
37664,43,134120,9,0,0,46, Private, Divorced, Sales, Other-relative, White, Female, United-States,0
23031,32,32406,13,0,0,50, Private, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0
28866,43,28451,13,0,0,37, State-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
19993,21,232591,9,0,0,40, Private, Never-married, Adm-clerical, Own-child, White, Male, United-States,0
31341,29,342989,9,0,0,40, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
7200,35,194690,4,0,0,40, Private, Divorced, Tech-support, Unmarried, White, Female, United-States,0
337,49,71195,14,0,0,60, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
40294,33,307640,11,0,0,40, Private, Never-married, Exec-managerial, Unmarried, Black, Female, United-States,0
47864,27,365745,6,0,0,20, Private, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
6477,36,166304,9,0,0,33, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
34251,24,314440,9,0,0,40, Private, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States,0
10118,41,355918,10,0,0,65, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
47490,63,106141,4,0,0,45, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,0
4576,43,122975,9,0,0,21, Private, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female, Trinadad&Tobago,0
40197,55,183884,9,0,0,50, Self-emp-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
4911,23,107578,13,2174,0,40, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
45864,48,172034,13,0,0,60, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
35270,31,268282,4,0,0,35, Private, Married-civ-spouse, Farming-fishing, Other-relative, White, Male, Mexico,0
45697,20,200967,9,0,0,30, Private, Never-married, Other-service, Own-child, White, Female, United-States,0
40837,48,166863,14,0,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
43046,56,118614,14,0,0,36, Self-emp-not-inc, Separated, Sales, Unmarried, White, Female, United-States,0
15875,59,113959,9,0,0,45, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
5072,61,128230,4,0,0,50, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
8901,42,141186,10,0,0,40, Private, Never-married, Other-service, Own-child, White, Female, United-States,0
16102,39,30673,10,0,0,50, Private, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States,1
34569,39,188069,14,15024,0,50, Private, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1
43871,26,210521,9,0,0,42, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
32855,23,316841,10,0,0,40, Private, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
41485,59,188872,9,0,0,40, Private, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1
37854,30,136331,9,0,0,40, Private, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
3337,46,283037,13,0,0,50, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
45581,31,32289,9,0,0,40, Private, Never-married, Tech-support, Not-in-family, White, Female, United-States,0
2297,31,118901,13,0,0,45, Private, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
8538,27,330132,13,0,0,40, Private, Married-civ-spouse, Tech-support, Wife, White, Female, United-States,1
11626,18,161063,9,0,0,40, Private, Never-married, Adm-clerical, Own-child, White, Male, United-States,0
34644,22,213834,11,0,0,20, Private, Never-married, Sales, Own-child, White, Female, United-States,0
269,33,222205,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States,1
34870,37,33001,9,0,0,50, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,0
40997,53,196395,13,0,0,40, Local-gov, Married-civ-spouse, Prof-specialty, Husband, Black, Male, United-States,1
8271,45,180309,10,0,0,40, Private, Divorced, Machine-op-inspct, Unmarried, White, Female, United-States,0
41115,54,96678,9,0,0,45, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
10750,64,298301,9,0,0,40, Private, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
38088,23,202920,11,0,0,40, Private, Never-married, Adm-clerical, Own-child, White, Female, Germany,0
23251,38,391040,11,0,0,20, Private, Separated, Tech-support, Unmarried, White, Female, United-States,0
33781,34,28568,9,0,0,40, Local-gov, Divorced, Craft-repair, Unmarried, White, Male, United-States,0
5704,30,188798,9,0,0,40, Self-emp-not-inc, Divorced, Other-service, Unmarried, White, Female, United-States,0
29969,48,207817,9,0,0,32, Private, Never-married, Other-service, Not-in-family, White, Female, Columbia,0
90,57,249977,11,0,0,40, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0
35810,69,137109,6,0,0,16, Private, Divorced, Other-service, Not-in-family, White, Female, United-States,0
2233,35,178322,11,0,0,50, Private, Married-civ-spouse, Sales, Husband, White, Male, Germany,1
17046,56,264436,10,0,0,40, Local-gov, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,0
20075,43,223861,11,0,0,40, Local-gov, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,0
10208,42,186376,13,0,0,72, Private, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, Philippines,1
48502,19,112780,10,0,0,20, Private, Never-married, Sales, Own-child, White, Female, United-States,0
42694,47,183186,13,0,0,60, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
34799,40,179557,13,0,0,40, Private, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,0
15959,67,141085,9,0,0,20, Self-emp-not-inc, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,0
14678,40,341835,9,0,0,45, Private, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
44894,37,164898,13,0,0,40, State-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
33121,43,125577,9,0,0,40, Private, Separated, Adm-clerical, Unmarried, Black, Female, United-States,0
18396,49,208872,9,0,1672,98, Self-emp-not-inc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
41296,76,161182,10,0,0,20, Self-emp-not-inc, Widowed, Sales, Not-in-family, White, Male, United-States,0
12187,60,178050,9,0,0,38, Private, Divorced, Other-service, Unmarried, Black, Female, United-States,0
26139,28,269786,9,0,0,50, Private, Never-married, Transport-moving, Unmarried, White, Male, United-States,0
