,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,y
0,25.0,234256.75,10.0,0.0,0.0,40.0,0.0
1,20.0,223331.11,7.0,0.0,0.0,40.0,0.0
2,34.0,154526.03,13.40941,0.0,0.0,35.0,0.0
3,35.0,89973.96,9.0,0.0,0.0,40.0,0.0
4,52.0,55832.695,9.0,0.0,0.0,40.0,1.0
5,24.0,47909.38,9.0,0.0,0.0,45.0,0.0
6,20.0,85541.06,9.0,0.0,0.0,35.0,0.0
7,23.0,271006.38,6.0,0.0,0.0,40.0,0.0
8,52.0,226276.48,10.0,0.0,0.0,60.0,0.0
9,52.934914,268261.94,15.0,0.0,0.0,24.0,0.0
10,29.0,29162.418,10.0,0.0,0.0,40.0,0.0
11,42.0,97731.66,9.0,0.0,0.0,40.0,0.0
12,32.0,373241.78,10.0,0.0,0.0,25.0,0.0
13,40.0,137636.78,9.0,0.0,0.0,55.0,0.0
14,47.0,112029.57,9.0,0.0,0.0,40.0,0.0
15,45.0,33951.445,9.0,0.0,0.0,46.90601,1.0
16,46.0,29070.36,10.0,0.0,0.0,28.0,0.0
17,56.0,105219.29,13.0,0.0,0.0,40.0,0.0
18,22.0,399961.66,9.0,0.0,0.0,40.0,0.0
19,23.0,286758.25,14.0,14332.798,0.0,65.0,0.0
20,42.0,268596.6,12.0,0.0,0.0,45.0,0.0
21,46.0,31928.77,16.0,0.0,0.0,40.0,1.0
22,49.0,281929.9,13.0,0.0,0.0,99.0,1.0
23,31.0,228090.4,2.0,0.0,0.0,49.961876,0.0
24,40.0,50020.07,13.0,0.0,0.0,50.0,1.0
25,48.0,166170.75,10.0,0.0,0.0,40.0,0.0
26,53.0,235819.64,13.0,0.0,0.0,14.92543,0.0
27,18.0,33439.387,9.0,0.0,0.0,20.0,0.0
28,33.0,303689.2,13.0,0.0,0.0,55.0,0.0
29,67.0,197872.83,5.0,0.0,0.0,45.0,0.0
30,62.0,248538.4,6.0,0.0,0.0,40.0,0.0
31,54.0,374724.5,12.0,0.0,1902.0,38.0,1.0
32,27.0,51269.305,9.0,0.0,0.0,45.0,0.0
33,40.802387,41347.965,14.0,0.0,0.0,40.0,0.0
34,58.0,116379.6,11.0,0.0,0.0,40.0,0.0
35,23.0,324062.8,10.0,0.0,0.0,50.0,0.0
36,38.0,122586.53,9.0,0.0,0.0,30.0,0.0
37,28.0,144994.81,9.0,0.0,0.0,55.0,0.0
38,47.0,220003.86,13.0,0.0,0.0,40.0,1.0
39,36.0,76286.734,9.0,0.0,0.0,30.0,0.0
40,32.0,210754.16,12.0,0.0,0.0,20.0,0.0
41,54.0,124613.95,14.0,0.0,0.0,40.0,1.0
42,46.0,183594.64,9.0,0.0,0.0,40.0,0.0
43,26.0,209381.08,9.0,0.0,0.0,60.0,1.0
44,50.0,184290.08,5.0,0.0,0.0,40.0,0.0
45,48.0,287851.66,9.0,0.0,0.0,40.0,1.0
46,45.0,391862.34,6.0,0.0,0.0,20.0,0.0
47,47.0,47016.06,9.0,0.0,0.0,40.0,0.0
48,49.0,208847.39,13.0,0.0,0.0,70.0,1.0
49,50.773212,103620.47,7.0,0.0,0.0,46.0,0.0
50,54.0,199166.16,9.0,0.0,0.0,40.0,1.0
51,54.0,215969.1,1.0,0.0,0.0,10.0,0.0
52,28.0,41381.58,11.0,0.0,0.0,50.0,0.0
