,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember,y
0,509.5442,48.82163,4.871727,0.0,2.0,125835.06,France,Male,1,0,0.0
1,536.4405,46.0,8.0,119198.81,1.0,108232.66,Germany,Female,1,1,0.0
2,748.56494,36.0,2.0,0.0,2.0,21893.34,Spain,Female,1,0,0.0
3,534.52655,43.0,1.0,141815.47,2.0,123191.32,Germany,Female,0,1,1.0
4,774.9265,39.0,5.0,0.0,2.0,104737.99,Spain,Female,1,0,0.0
5,570.30426,43.0,5.0,0.0,1.0,73808.984,France,Female,1,1,0.0
6,713.6753,52.0,6.0,137902.08,1.0,108936.9,Germany,Female,1,1,1.0
7,617.9064,61.91155,1.0,92781.484,1.0,129244.67,France,Female,1,1,0.0
8,512.7591,45.0,2.0,0.0,3.085964,1395.9542,France,Male,1,1,0.0
9,795.3357,41.0,7.0,139764.42,2.0,7166.733,Germany,Female,0,1,1.0
10,601.79517,36.0,8.0,140981.98,3.7548857,170128.31,Germany,Female,0,1,0.0
11,712.0517,33.0,1.0,117178.28,1.0,104572.38,France,Female,1,0,0.0
12,664.3192,54.0,4.0,0.0,1.0,103561.31,Germany,Male,0,0,0.0
13,503.79196,51.0,0.0,0.0,2.0,153498.84,Spain,Male,1,0,0.0
14,686.5455,57.84432,3.0,0.0,1.0,187587.23,France,Female,0,1,0.0
15,744.2373,60.0,4.0,0.0,2.0,8991.824,France,Female,1,1,0.0
16,701.6114,32.0,4.0,0.0,2.4478083,140576.02,France,Male,1,1,0.0
17,539.7619,72.64565,5.0,173007.36,1.0,166234.27,Germany,Male,1,0,0.0
18,836.28613,34.0,7.0,79454.43,1.0,185563.08,France,Female,1,0,0.0
19,704.6532,48.0,7.0,108153.016,1.0,58779.875,France,Male,1,1,1.0
20,520.6186,40.0,1.1534977,0.0,1.0,167244.48,France,Female,0,1,0.0
21,684.4651,60.44862,10.0,123096.234,1.0,131457.06,France,Male,1,1,0.0
22,850.0,36.0,4.0,141233.44,1.0,53626.504,Germany,Female,1,0,0.0
23,444.25064,66.62753,10.0,0.0,1.0,116017.39,Spain,Male,1,0,0.0
24,527.4126,33.0,10.0,0.0,4.0,125160.62,Spain,Female,1,1,0.0
25,699.9519,37.0,5.0,0.0,1.0,183540.67,France,Female,1,0,0.0
26,514.1581,37.0,5.0,150575.81,1.0,95105.164,Germany,Female,0,1,0.0
27,647.1686,34.0,5.0,128819.88,3.0,24841.098,France,Female,0,1,1.0
28,611.5521,56.0,5.0,0.0,2.0,140453.31,Spain,Female,1,1,0.0
29,636.0375,41.0,5.0,0.0,2.0,170971.22,Spain,Male,1,0,0.0
30,850.0,40.0,2.0,104693.63,4.0,33790.457,France,Male,1,1,0.0
31,651.3466,38.0,5.0,115608.305,2.0,197663.34,Germany,Male,1,1,0.0
32,598.318,29.0,4.0,0.0,1.0,183677.56,France,Male,0,1,0.0
33,548.5369,31.0,4.0,151741.33,1.0,70764.93,Spain,Female,1,0,1.0
34,708.1068,40.249874,10.0,123757.24,1.0,155548.31,Germany,Male,0,1,0.0
35,686.18427,44.0,5.0,0.0,2.3923516,80695.61,France,Male,0,1,0.0
36,608.0,39.0,4.0,0.0,1.0,72053.04,France,Male,0,1,0.0
37,704.3206,49.0,0.0,124710.7,1.0,113886.13,Germany,Male,1,1,0.0
38,748.7521,39.0,8.0,208600.36,1.0,198619.9,France,Female,0,1,1.0
39,550.9125,28.49795,0.0,0.0,2.0,147047.42,Spain,Male,1,1,0.0
40,584.6396,33.0,8.0,65906.21,1.0,192120.23,Spain,Male,0,1,0.0
41,774.5043,30.0,7.0564446,0.0,2.0,131731.3,Spain,Female,1,1,1.0
42,697.98047,22.0,3.0,115973.08,2.0,156488.7,Germany,Male,0,0,1.0
43,609.901,46.0,4.0,0.0,1.0,16775.135,France,Female,0,1,0.0
44,597.42053,41.0,8.0,0.0,2.0,166520.94,Spain,Male,1,0,0.0
45,673.90204,33.0,10.0,144590.42,3.0,168320.48,Germany,Male,1,1,0.0
46,807.1334,63.38951,0.0,0.0,2.0,176026.06,Germany,Male,1,1,0.0
47,850.0,34.0,9.0,0.0,1.0,153993.73,Spain,Female,1,0,1.0
48,543.5832,52.0,7.0,88977.086,1.0,3001.7761,Germany,Male,1,1,0.0
49,576.72797,57.0,0.0,0.0,1.0,77406.46,Spain,Male,1,0,0.0
50,589.8099,35.0,1.0,130626.73,1.0,10919.999,Spain,Female,1,0,1.0
51,527.1555,28.0,7.0,0.0,2.0,145648.11,Spain,Male,1,1,0.0
52,575.2341,38.0,2.0,163262.19,1.0,168137.9,France,Male,1,1,0.0
53,580.81,35.0,7.0,96474.75,1.0,59845.73,France,Female,1,0,1.0
54,507.4627,28.0,8.0,116993.695,2.0,65377.617,Germany,Male,1,0,0.0
55,655.0154,41.0,10.0,118759.086,2.0,158831.25,France,Female,1,1,0.0
56,802.6047,34.0,5.0,134150.77,1.0,2061.7341,Spain,Male,1,0,0.0
57,844.2177,33.0,0.0,176753.75,1.0,155102.77,France,Male,1,1,0.0
58,712.62634,38.0,3.0,118461.22,1.0,93249.18,France,Female,1,1,1.0
59,572.5959,39.0,10.0,0.0,1.0,196781.02,France,Male,1,0,0.0
60,677.3412,47.0,7.0,166802.62,1.0,79101.82,France,Female,1,1,0.0
61,850.0,22.0,10.0,0.0,2.0,183116.14,Spain,Male,0,1,0.0
62,689.02496,41.0,5.0,118156.3,1.0,161161.62,Spain,Female,0,0,0.0
63,732.10754,47.0,4.0,133475.77,1.0,64039.688,France,Female,0,1,0.0
64,646.2799,30.0,10.0,239039.5,1.0,199966.9,France,Female,1,1,0.0
65,607.8839,36.0,10.0,0.0,3.0,25137.307,France,Male,0,1,0.0
66,617.5891,58.380127,5.0,130817.92,1.0,79109.28,Germany,Female,1,0,0.0
67,599.70734,66.86005,2.0,150176.78,1.0,96159.63,Germany,Female,0,1,0.0
68,704.7608,27.0,4.0,115003.94,1.0,184258.5,France,Female,1,1,1.0
69,598.2192,26.919157,10.0,0.0,2.0,161300.4,France,Female,1,0,0.0
70,658.8897,36.0,2.0,0.0,1.0,19132.682,France,Female,1,0,0.0
71,650.3263,61.0,4.0,171447.17,2.0,184780.47,France,Male,1,0,0.0
72,360.034,66.92956,0.0,194641.33,3.0,199970.34,France,Male,0,0,0.0
73,722.2631,57.0,8.0,0.0,2.0,23770.576,Spain,Female,1,1,0.0
74,630.55133,34.0,8.0,123556.44,1.0,193617.62,France,Female,1,1,0.0
75,553.38983,45.0,8.0,155704.52,1.0,49352.273,Spain,Male,0,0,0.0
76,836.9203,34.0,0.0,112762.98,1.0,22839.377,France,Female,0,1,0.0
77,610.7878,74.95332,7.0,132733.25,1.0,142203.39,Spain,Male,1,1,0.0
78,555.0513,68.738335,7.0,0.0,3.3885553,112231.53,Spain,Female,0,0,1.0
79,698.59595,27.0,5.0,0.0,1.0,177877.47,France,Male,0,0,1.0
80,544.0345,40.0,8.0,0.0,1.0,49406.24,France,Female,1,1,0.0
81,569.9656,60.0,4.0,0.0,1.0,50051.918,France,Female,0,1,0.0
82,706.3165,57.0,2.0,0.0,3.0,126603.97,France,Male,0,0,0.0
83,595.7978,31.0,8.0,145545.75,1.0,85769.9,France,Female,0,1,0.0
84,807.2562,29.0,10.0,135286.17,1.0,116740.016,Germany,Male,1,1,0.0
85,563.25586,45.0,4.0,142691.3,1.0,162157.45,France,Female,0,0,0.0
86,777.4026,37.0,6.0,95534.38,1.0,63945.777,France,Female,1,1,0.0
87,640.4047,49.931824,5.0,0.0,1.0,66348.664,Germany,Female,1,1,0.0
88,593.08124,41.0,1.1452901,114815.17,1.0,189304.19,France,Female,0,1,1.0
89,624.0,43.158314,2.0,0.0,1.0,185610.88,France,Female,0,0,1.0
90,548.41986,73.98711,7.0,0.0,1.0,67273.51,Spain,Female,0,0,0.0
91,730.77576,49.0,8.0,0.0,1.0,83915.336,France,Male,1,1,0.0
92,731.75903,33.0,0.0119409915,0.0,1.0,182483.9,France,Male,1,1,0.0
93,704.5283,26.105417,10.0,100396.586,1.0,139812.95,France,Female,1,0,1.0
94,693.7612,35.0,10.0,115392.55,1.0,150402.34,France,Male,1,0,0.0
95,513.94977,38.0,2.0,0.0,3.0,161429.62,France,Male,1,1,1.0
96,508.01654,30.0,9.0,0.0,2.0,1751.49,France,Female,1,0,1.0
97,617.7531,49.765984,2.0,0.0,1.0,88461.94,France,Male,1,0,0.0
98,665.11084,39.0,5.0,0.0,1.0,61316.918,Spain,Female,1,1,1.0
99,850.0,24.0,9.0,107278.336,1.0,140428.64,France,Male,1,0,1.0
100,644.97253,28.0,0.0,102975.25,1.0,113019.72,France,Male,1,0,0.0
101,597.7004,36.0,0.0,236988.05,1.0,138068.25,France,Male,1,1,0.0
102,547.82526,50.0,7.0,124828.445,1.0,71332.805,Germany,Female,1,0,0.0
103,785.6767,38.0,7.0,109203.58,2.0,9235.784,Germany,Female,1,1,1.0
104,850.0,32.0,10.0,0.0,2.0,129815.34,France,Female,1,1,0.0
105,685.2372,27.0,4.0,130441.6,2.0,68603.8,France,Female,1,0,0.0
106,644.9857,40.0,4.0,139550.52,1.0,137333.14,France,Female,1,0,0.0
107,686.2313,57.0,3.0,123650.19,1.0,118410.66,Germany,Male,1,1,0.0
108,786.34534,33.0,2.0,136515.75,1.0,41456.58,France,Male,1,1,0.0
109,681.1804,51.01839,3.0,0.0,2.0,29222.371,France,Male,1,0,0.0
110,507.27396,25.0,2.0,133970.6,3.0,151273.53,Spain,Female,0,0,0.0
111,678.23956,31.0,10.0,97862.31,2.0,191511.81,Germany,Female,1,1,0.0
112,530.3708,36.0,0.0,0.0,1.0,169673.89,Germany,Male,1,0,1.0
113,695.7779,32.0,5.0,0.0,2.0,78438.39,France,Female,0,1,0.0
114,660.11755,43.0,6.0,0.0,1.0,68336.99,Spain,Male,1,0,0.0
115,676.80707,37.0,4.0,128659.234,1.0,96242.02,France,Male,0,1,0.0
116,614.1104,35.0,7.0,109341.64,1.0,186602.61,France,Male,1,1,1.0
117,850.0,41.0,9.0,0.0,1.0,154663.62,Spain,Female,0,0,0.0
118,660.29095,44.0,4.0,146664.11,1.0,166497.38,Spain,Male,1,1,0.0
119,782.3102,38.0,10.0,182904.83,2.0,129092.62,Germany,Male,1,1,1.0
120,591.33514,37.0,8.0,145910.39,1.0,128354.01,France,Female,1,0,0.0
121,755.55115,33.86409,1.0,123195.04,1.0,126715.09,Germany,Female,1,0,0.0
122,791.2679,29.0,10.0,0.0,1.0,60855.5,France,Male,0,0,0.0
123,565.9189,24.0,3.0,106480.3,2.0,68204.4,Spain,Female,1,0,0.0
124,675.9083,27.0,9.0,100209.98,1.0,13738.141,Germany,Female,1,1,0.0
125,515.66644,39.0,1.0,0.0,2.0,36321.28,France,Female,1,0,0.0
126,461.38425,37.0,4.0,138770.94,1.0,177105.22,Germany,Female,0,1,1.0
127,531.7433,34.0,7.0,121253.78,1.0,113066.445,France,Female,0,1,0.0
128,573.8724,32.0,6.0,0.0,2.0,145102.9,Spain,Male,1,1,0.0
129,614.6943,57.0,0.025004,0.0,1.0,115964.55,Spain,Male,0,0,0.0
130,774.7331,40.0,3.0,47079.125,1.0,79407.59,Spain,Female,1,0,0.0
131,599.861,43.0,1.8880844,123738.57,1.0,166620.05,Germany,Female,0,1,0.0
132,528.8223,46.0,6.0,113624.38,2.0,52145.85,Germany,Male,1,0,0.0
133,775.9434,30.0,2.0,0.0,2.0,175073.7,France,Male,1,1,1.0
134,579.9945,53.0,3.0,0.0,3.0,20439.748,France,Male,1,0,0.0
135,718.46014,42.0,0.023616085,93464.99,1.0,60308.3,France,Female,0,1,0.0
136,658.96405,36.336464,9.0,113904.695,1.0,121565.38,France,Female,0,1,0.0
137,726.29297,39.0,7.0,125720.15,1.0,39958.152,France,Female,1,1,0.0
138,583.59753,18.020855,10.0,0.0,4.0,76863.77,Spain,Male,1,1,0.0
139,611.845,23.002464,10.0,158659.33,2.0,171911.8,Germany,Female,1,1,0.0
140,598.496,40.0,1.0,97879.66,2.0,146725.14,Spain,Male,1,0,0.0
