,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember,y
0,350.0,92.0,0.0,0.0,4.0,90.07,Germany,Male,1,1,0.0
1,850.0,92.0,10.0,0.0,1.0,90.07,Germany,Male,1,0,0.0
2,350.0,92.0,0.0,250898.1,4.0,90.07,Germany,Female,0,0,0.0
3,850.0,92.0,0.0,250898.1,4.0,90.07,Germany,Female,1,0,0.0
4,850.0,92.0,10.0,250898.1,1.0,199970.73,Germany,Male,0,1,0.0
5,850.0,92.0,0.0,0.0,4.0,90.07,France,Male,1,1,0.0
6,350.0,18.0,0.0,0.0,1.0,199970.73,Spain,Male,1,1,0.0
7,350.0,18.0,10.0,0.0,1.0,90.07,Germany,Female,0,1,0.0
8,850.0,18.0,10.0,250898.1,1.0,90.07,France,Male,0,0,0.0
9,350.0,18.0,0.0,250898.1,4.0,199970.73,France,Male,0,1,0.0
10,350.0,18.0,0.0,250898.1,4.0,90.07,France,Female,1,0,0.0
11,350.0,92.0,0.0,250898.1,4.0,90.07,Spain,Male,0,0,0.0
12,350.0,18.001305,10.0,250898.1,1.0,90.07,Germany,Male,0,0,0.0
13,350.0,18.0,0.0,0.0,1.0,90.07,France,Female,1,0,0.0
14,850.0,18.0,10.0,250898.1,4.0,90.07,Germany,Male,0,0,0.0
15,850.0,92.0,0.0,0.0,4.0,199970.73,Germany,Male,1,1,0.0
16,850.0,18.0,10.0,250898.1,1.0,199970.73,Germany,Female,1,0,0.0
17,350.0,18.0,10.0,250898.1,4.0,199970.73,Spain,Female,0,1,1.0
18,850.0,18.0,0.0,250898.1,1.0,199970.73,Germany,Female,0,1,0.0
19,850.0,18.0,0.0,0.0,4.0,90.07,Spain,Female,0,0,0.0
20,350.0,18.0,0.0,250898.1,4.0,90.07,Spain,Female,1,1,0.0
21,850.0,92.0,10.0,250898.1,1.0,199970.73,France,Female,0,0,0.0
22,350.0,92.0,0.0,250898.1,1.0,90.07,Spain,Male,0,0,0.0
23,350.0,92.0,0.0,250898.1,1.0,90.07,Spain,Male,1,1,0.0
24,350.0,92.0,10.0,250898.1,1.0,199970.73,France,Female,0,0,1.0
25,850.0,92.0,0.0,0.0,1.0,199970.73,France,Female,0,0,0.0
26,850.0,92.0,0.0,250898.1,4.0,90.07,France,Male,0,0,0.0
27,350.0,18.0,10.0,250898.1,1.0,199970.73,Spain,Female,1,0,1.0
28,350.0,92.0,0.0,250894.4,1.0,199569.17,Spain,Male,0,0,1.0
29,850.0,18.0,10.0,250898.1,4.0,199970.73,Germany,Female,1,1,1.0
30,350.0,18.0,0.0,250898.1,4.0,199970.73,Germany,Male,1,1,0.0
31,350.0,18.0,0.0,0.0,1.0,90.09629,Germany,Male,0,0,0.0
32,850.0,92.0,0.0,250898.1,4.0,90.07,Germany,Male,0,0,0.0
33,350.0,18.0,10.0,0.0,1.0,90.07,Spain,Male,1,1,1.0
34,350.0,18.0,10.0,0.0,1.0,199970.73,Germany,Female,1,0,1.0
35,850.0,18.0,0.0,250898.1,1.0,90.07,France,Female,1,1,0.0
