,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember,y
0,653,32,1,121863.71861380212,2,124705.32925191238,Germany,Male,1,0,1
1,720,36,0,135168.45362600335,1,68976.5693891604,Germany,Male,1,1,1
2,676,35,7,-72.05705720205155,2,64496.687340845296,France,Male,1,1,1
3,691,29,2,139245.81604224397,2,90978.15477873436,France,Male,1,1,1
4,572,38,5,149749.43084560827,2,136045.9327464744,France,Male,1,1,1
5,606,42,1,-56.13016295131271,2,20402.51242296319,France,Male,1,1,1
6,604,34,9,108634.28385811111,2,192925.8752968016,Germany,Male,1,0,1
7,541,51,3,113956.35007241934,3,93421.70256352633,France,Female,1,1,0
8,720,31,1,-688.1339472608549,2,182047.41090981904,France,Male,1,1,1
9,705,33,1,-59.54347643163999,2,77511.16093083662,France,Male,1,0,1
10,723,32,0,110280.02628762304,2,175395.94879267283,Germany,Male,1,1,1
11,593,40,1,298.97346812906545,2,16341.278995291663,France,Male,1,1,1
12,735,38,1,117070.37843326989,2,97498.805003766,Germany,Male,1,1,1
13,639,45,2,169591.50540283212,2,184495.01156268214,Germany,Male,1,1,1
14,517,34,1,138866.68046038202,1,88476.38323841382,Germany,Female,1,0,1
15,588,45,5,129148.42798245975,2,118265.97731949978,Germany,Male,1,0,1
16,655,43,3,83342.58953573706,3,66638.51347271608,France,Female,1,0,0
17,745,35,1,141934.64640473545,1,97803.46184079393,France,Male,1,1,1
18,573,39,1,132869.40670020724,1,170062.73717186754,France,Male,1,1,1
19,666,33,8,-1023.2761961214328,2,164306.1936039865,France,Male,1,1,1
20,677,38,1,102745.23725713321,1,66175.2389397375,France,Male,1,0,1
21,721,76,0,137270.12390143503,1,99072.2822606645,France,Female,1,1,0
22,646,43,1,118746.79483060216,1,77195.03775158152,Germany,Female,1,0,0
23,709,33,1,125756.49157793888,1,81412.16343012948,Germany,Male,1,1,1
24,798,50,1,92305.10530552978,1,191097.68822074324,Germany,Female,1,0,0
25,755,32,7,106698.4569806673,1,146483.91756729782,France,Male,1,1,1
26,733,38,1,378.6483069430389,2,34423.05585639663,France,Male,1,1,1
27,815,30,0,79699.52228204501,2,167898.48980539618,France,Male,1,1,1
28,698,35,1,162445.43600330097,1,62758.794726287124,France,Male,1,1,1
29,663,46,1,108355.86037190049,1,55037.64455997143,France,Female,1,0,0
30,612,43,1,106104.19115154719,1,191567.3819631601,Germany,Female,1,0,0
31,703,30,8,185001.2891300639,2,17332.12163170845,France,Male,1,1,1
32,641,57,1,-284.15388663347625,3,126828.9376123711,France,Female,1,0,0
33,744,32,1,106610.43638354956,1,55865.45689599186,France,Male,1,0,1
34,725,27,1,151573.02061335504,1,138348.30203827037,Germany,Male,1,0,1
35,549,37,1,-708.329549730919,1,98622.25348534266,France,Male,1,1,1
36,674,33,2,1164.7204755729203,2,101615.88243511564,France,Male,1,1,1
37,684,48,1,107052.38287242119,1,49357.765154561755,France,Female,1,0,0
38,832,32,1,65797.43338271677,1,133900.49637924993,Germany,Male,1,1,1
39,584,44,5,119373.28832752298,1,146362.6149663765,Germany,Male,1,0,1
40,745,37,1,95386.99277524202,1,98893.26710801125,France,Male,1,1,1
41,627,37,1,128156.5154222301,1,120691.74221612884,France,Female,1,0,1
42,632,40,1,137.40661367349827,2,102933.06153497807,France,Male,1,1,1
43,725,34,4,113671.53550326265,1,144760.97980124937,France,Male,1,1,1
44,526,30,8,173718.94328155616,1,71537.43765419886,France,Male,1,1,1
45,678,35,7,161.12419792709187,2,22787.830365750957,France,Male,1,1,1
46,705,32,1,140648.31143743033,2,164800.80085566218,Germany,Male,1,1,1
47,452,50,0,108541.42124904916,1,32985.251094557774,Germany,Female,1,0,0
48,577,34,2,-1336.8192534069904,2,64429.11014313571,France,Male,1,1,1
49,808,39,1,131886.7716655076,1,57858.03484687949,France,Male,1,0,0
50,458,29,4,142382.1372150311,2,122144.11259581143,France,Male,1,1,1
51,613,26,1,71273.34563342386,2,179529.98103343515,France,Male,1,1,1
52,565,33,1,96698.4840382057,1,99511.90110201808,France,Male,1,0,1
53,541,31,1,-847.1424650866207,1,150052.5766901485,France,Male,1,0,0
54,544,32,1,157249.85184105873,1,134829.00386275986,France,Male,1,0,1
55,542,47,1,95749.47077161373,1,102081.6104248018,France,Female,1,1,1
56,462,44,1,136625.68034333078,1,45417.39214981223,France,Female,1,0,0
57,614,34,1,107325.00484622343,1,182433.2793123133,Germany,Male,1,0,1
58,642,34,2,134169.5537449248,1,36967.34203685927,France,Male,1,1,1
59,684,33,1,131904.393978726,1,119528.44321816896,Germany,Male,1,0,1
60,676,27,1,86203.81082963967,1,152848.17247167137,France,Male,1,1,1
61,548,41,1,131997.71577918148,1,111560.61080494724,Germany,Female,1,0,1
62,751,40,1,101100.97198858758,1,111253.2718118615,France,Male,1,0,1
63,530,34,1,152228.79433224862,1,151910.36466687452,Germany,Male,1,0,0
64,694,48,1,119400.01849332254,1,90095.82613071289,Germany,Female,1,0,0
65,583,30,2,97264.24721513623,2,49966.895285845305,France,Male,1,1,1
66,715,34,1,128657.57650231745,1,96834.06727854875,France,Male,1,1,1
67,512,37,1,1002.8980032309025,2,87893.09015524888,France,Male,1,0,1
68,650,35,2,828.930560720084,2,183795.73126088644,France,Male,1,1,1
69,687,37,1,88095.39799230901,1,92391.60927182843,Germany,Female,1,1,1
70,604,42,1,71252.63947169192,1,87064.51499998194,France,Female,1,0,1
71,578,29,1,327.03092782470776,2,137675.73627670232,France,Male,1,1,1
72,501,47,0,846.841517120092,1,60916.594615378905,France,Male,1,0,1
73,601,36,1,117094.6663744544,1,146079.45410286143,Germany,Female,1,0,0
74,596,38,1,111534.07517234115,1,133836.95287067007,France,Male,1,1,1
75,614,31,2,156458.7082001754,2,142953.48935176,France,Male,1,1,1
76,666,45,1,92455.38492100476,1,67687.69947424869,France,Female,1,0,0
77,501,37,1,103297.15688417164,1,45336.48896996736,Germany,Female,1,0,1
78,583,38,4,-1345.3080783131807,1,126661.62312345613,France,Female,1,1,1
79,701,29,1,144065.47219158473,1,127997.0330327313,Germany,Female,1,0,1
80,634,45,1,107755.45051561031,1,152145.41534493244,France,Female,1,0,0
81,656,36,2,57.18736266168284,2,114760.3794266138,France,Male,1,1,1
82,745,58,1,111106.87621446347,1,126341.26723130836,Germany,Female,1,0,0
83,562,69,1,-35.38140058575907,1,37718.68219595058,France,Male,1,0,0
84,711,56,1,132793.60585427444,1,69437.4255310255,Germany,Male,1,0,0
85,623,34,1,628.6614258163502,2,58352.76660162955,France,Male,1,1,1
86,541,32,8,117.07253642218743,2,168221.4613396456,France,Male,1,1,1
87,629,38,1,1168.6077668344562,2,110666.94395629788,France,Male,1,0,1
88,388,35,1,135235.07552402443,1,67481.2302766559,France,Male,1,0,0
89,697,51,0,114453.08628604905,1,95354.63455398328,Germany,Female,1,0,0
90,672,40,1,145293.72730305445,1,53321.752813528736,Germany,Male,1,0,1
91,606,36,1,215270.93949512724,1,10665.853244043608,France,Male,1,0,1
92,749,41,0,142014.91517879706,1,100677.2119696606,France,Male,1,1,1
93,644,35,0,126208.83227836616,1,61781.27896067803,France,Female,1,0,0
94,681,45,1,114055.77804952218,1,55804.83924907164,Germany,Female,1,0,0
95,668,49,0,154166.8451898024,1,140309.27341592492,Germany,Female,1,0,0
96,521,36,1,159213.851575294,1,91834.09200852673,France,Male,1,0,1
97,673,40,1,123704.90715276827,1,161469.2114613079,France,Male,1,1,1
98,694,37,2,112497.08512042627,1,118927.31155500984,France,Male,1,1,1
99,660,49,0,170068.55818617105,1,131955.90712746652,France,Male,1,0,0
100,567,39,5,119014.15495637537,2,143250.46730147436,France,Male,1,1,1
101,733,33,1,73785.64780974944,2,178163.65802237575,France,Male,1,1,1
102,493,52,1,135358.9035943601,1,73484.28215162367,Germany,Female,1,0,0
103,438,32,4,-1003.6091303149506,2,24637.82053511194,France,Male,1,1,1
104,626,32,1,106967.2973293662,1,173625.07753948783,France,Male,1,1,1
105,631,56,0,187.33118184489817,1,31701.094655900088,France,Female,1,0,0
106,720,35,2,101242.43260346506,2,41512.76584666705,France,Male,1,1,1
107,691,32,1,126582.90740314653,1,99924.19989437841,France,Male,1,1,1
108,679,31,2,-48.389161601895495,2,159127.60451468633,France,Male,1,1,1
109,724,36,1,85511.92777769276,1,67703.41944330628,France,Female,1,0,1
110,700,33,1,156552.93626476242,1,116392.34715246886,France,Male,1,0,1
111,649,32,1,-81.11651779020289,1,39469.02017131569,France,Male,1,0,1
112,784,41,1,91339.43312224915,1,91072.66294461451,France,Female,1,0,0
113,716,33,1,644.8264553802805,2,109216.77476551516,France,Male,1,1,1
114,604,39,1,77.66898946416035,2,101657.77612232607,France,Male,1,1,1
115,589,52,1,140502.9702909951,1,40588.49780963185,France,Female,1,0,0
116,751,74,1,126586.05372391651,1,113048.47826525607,Germany,Male,1,1,1
117,523,50,1,153509.63940305167,1,47808.37703535093,Germany,Male,1,0,0
118,614,41,9,135774.64016226234,1,61331.953738625794,Germany,Male,1,0,1
