,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember,y
0,616,45,0,676.6053308577308,1,145363.8167055412,France,Male,1,1,1
1,745,27,4,100872.49676757204,2,120512.77434300625,France,Male,1,1,1
2,707,32,1,-101.88949140973486,2,160769.7757735786,France,Male,1,1,1
3,690,37,1,83565.4056517697,1,178905.48348111077,France,Female,1,1,1
4,583,52,0,130272.6953525358,1,108274.78256808862,France,Female,1,0,0
5,534,56,1,136525.1948790004,1,49037.27564463241,Germany,Female,1,0,0
6,692,35,1,120118.82551741644,1,48519.148123613784,France,Male,1,1,1
7,514,37,8,114524.61715855813,3,34988.91354958763,Germany,Female,1,0,0
8,478,38,2,159.54102601491613,2,128427.58726385311,France,Male,1,1,1
9,672,69,1,97251.4153639165,1,113511.60561262976,France,Female,1,1,1
10,775,41,0,79158.02267349823,1,58867.47607178102,France,Male,1,1,1
11,715,45,1,116385.0880413151,1,107013.22559621201,France,Male,1,1,1
12,677,29,2,-1335.0404655138548,2,64485.69067996805,France,Male,1,1,1
13,636,32,2,276.0299840315388,2,172893.4653699374,France,Male,1,1,1
14,675,41,1,68293.25049275265,1,153231.11080024374,France,Male,1,1,1
15,621,33,2,115978.60507550427,2,177281.4805809978,France,Male,1,1,1
16,585,44,1,-616.9090313899483,1,144485.26495390825,France,Male,1,1,1
17,767,37,1,-31.232665938000256,1,68610.62859710344,France,Female,1,0,0
18,770,30,1,87273.68528691262,2,73228.03022004844,Germany,Male,1,1,1
19,668,38,1,102.12084742903426,2,66343.57219382419,France,Female,1,0,1
20,711,27,8,184597.8973536503,1,145108.65406459305,France,Male,1,1,1
21,580,30,1,174517.24735568225,1,126842.27124993163,France,Male,1,0,1
22,694,35,2,521.0085446288044,2,72076.00231201002,France,Male,1,1,1
23,735,44,1,-137.6307722027209,1,51657.89467581502,France,Male,1,1,1
24,645,31,2,109479.76737796552,2,68777.54399056007,Germany,Male,1,1,1
25,600,37,2,-242.44267181337364,2,58600.62676526039,France,Male,1,1,1
26,620,40,1,115919.44719658903,2,104300.03610276688,Germany,Male,1,0,1
27,801,34,2,46006.8183504109,2,183595.68016904092,France,Male,1,1,1
28,638,33,8,134415.45087123464,2,156519.53700106475,France,Male,1,1,1
29,633,35,1,120345.20021548377,1,123022.67447431684,France,Male,1,0,1
30,690,30,2,110919.93483610137,2,81523.08910183219,France,Male,1,1,1
