,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember,y
0,656.0,32.0,3.0,108300.27,1.0,189657.26,Germany,Female,1,1,0
1,629.0,34.0,6.0,129101.3,2.0,93767.03,France,Male,1,0,1
2,565.0,54.0,9.0,96402.96,1.0,183980.56,France,Female,1,1,0
3,584.0,32.0,9.0,0.0,2.0,192381.21,France,Female,1,0,1
4,509.00000000000006,29.0,6.0,0.0,2.0,94780.9,Spain,Female,0,1,1
5,531.0,45.0,3.0,116528.15,2.0,170621.55,France,Female,1,0,0
6,561.0,31.0,0.0,81480.27,2.0,65234.6,France,Female,1,1,1
7,738.0,54.0,8.0,123110.9,1.0,82290.81,Germany,Male,1,0,0
8,850.0,49.0,9.0,117640.39000000001,1.0,116893.87000000001,France,Male,1,0,1
9,584.0,33.0,3.0,102097.33,1.0,5159.210000000001,France,Female,0,1,1
10,640.0,44.0,9.0,0.0,1.0,148516.79,France,Female,1,0,1
11,546.0,24.0,2.0,98141.57,1.0,60420.07,France,Female,1,1,1
12,672.0,28.0,5.0,87099.85,2.0,95481.0,France,Female,1,1,1
13,437.0,36.0,2.0,0.0,1.0,156910.46000000002,France,Male,1,0,1
14,673.0,77.00000000000006,5.0,158719.57,1.0,7144.460000000002,France,Female,1,1,1
15,753.0,32.0,5.0,159904.79,1.0,183542.08,France,Male,1,0,1
16,736.0,24.0,1.0,0.0,1.0,109355.73000000001,France,Female,0,1,0
17,679.0,34.0,7.0,121063.85,1.0,56984.58,Germany,Male,1,1,1
18,741.0,35.0,1.0,101744.84000000001,1.0,169665.79,Spain,Male,1,1,1
19,685.0,40.0,4.0,111798.06,2.0,43117.09999999999,France,Male,1,1,1
20,738.9999999999999,29.0,1.0,0.0,2.0,164484.78,France,Male,1,1,1
21,705.0,46.0,7.0,0.0,2.0,117273.35,France,Male,1,1,1
22,573.0,47.0,8.0,150836.92,1.0,119377.36,Spain,Male,0,0,0
23,597.0,29.0,6.0,105443.68,1.0,138490.03,Germany,Male,0,0,1
24,590.0,38.0,9.0,0.0,2.0,105818.51,France,Male,1,0,1
25,821.0,28.0,8.0,168253.21,1.0,102799.14,Spain,Female,1,1,1
26,746.0,34.0,9.0,92566.53,2.0,161519.76999999996,France,Female,1,1,1
27,554.0,42.0,7.0,99824.45,2.0,101905.33999999998,Germany,Female,0,0,1
28,738.0,38.0,7.0,140950.92,1.0,6078.459999999998,Germany,Male,0,1,1
29,544.0,44.0,1.0,0.0,2.0,89602.81,France,Female,0,1,1
30,803.0,63.0,1.0,169362.43,1.0,126743.33,France,Male,1,1,0
31,797.0,33.0,9.0,0.0,2.0,59297.34,Spain,Male,0,0,1
32,763.0,38.0,0.0,129068.54,2.0,34743.979999999996,France,Female,0,0,1
33,777.9999999999999,65.0,6.0,0.0,2.0,80272.06,Spain,Female,0,1,1
34,696.0,36.0,3.0,0.0,2.0,147012.22,Spain,Male,1,1,1
35,617.0,58.0,7.0,0.0,1.0,107665.68,Spain,Male,1,1,0
36,824.9999999999999,32.0,9.0,92899.27,1.0,161671.15,France,Male,1,0,1
37,564.0,32.0,3.0,109341.87,1.0,39806.74999999999,Spain,Male,1,1,1
38,777.9999999999999,37.0,3.0,103769.22,1.0,85801.77,Germany,Female,0,0,1
39,696.0,35.0,4.0,167455.65999999997,2.0,90270.16,Germany,Female,1,1,1
40,630.0,30.0,3.0,0.0,1.0,24865.540000000015,France,Female,0,1,1
41,811.0,42.0,6.0,64497.94000000001,3.0,171928.04,France,Female,0,1,0
42,514.0,46.0,4.0,0.0,1.0,61820.41,Spain,Female,0,1,1
43,567.0,47.0,2.0,0.0,1.0,65466.93,France,Female,1,1,0
44,805.0,26.0,4.0,0.0,2.0,159654.0,France,Male,1,1,1
45,499.0,44.0,6.0,77627.33,1.0,53445.17,France,Female,1,1,1
46,697.0,45.0,2.0,0.0,1.0,182784.11,France,Female,1,0,0
47,805.0,56.0,6.0,148074.79,1.0,155047.11000000002,Germany,Male,1,0,0
48,850.0,37.0,7.0,143452.74,1.0,17294.119999999988,Spain,Male,0,1,1
49,665.0,37.0,7.0,0.0,2.0,40062.29,France,Male,1,0,1
50,589.0,46.0,7.0,0.0,2.0,109153.04,Spain,Female,0,0,1
51,575.0,41.0,8.0,0.0,2.0,29737.140000000007,France,Male,1,0,1
52,627.0,62.0,3.0,0.0,2.0,197727.14,France,Female,1,1,1
53,611.0,58.0,9.0,125801.03,1.0,94187.47,Germany,Male,1,1,0
54,749.9999999999999,33.0,4.0,161801.47000000003,3.0,115525.13,Germany,Male,1,1,0
55,659.0,36.0,0.0,150923.74000000002,1.0,160162.42,Germany,Male,1,1,1
56,520.0,23.0,3.0,116022.53,1.0,37577.659999999996,France,Male,0,1,1
57,581.0,29.0,8.0,0.0,2.0,46735.19,Spain,Female,1,1,1
58,685.0,30.0,2.0,0.0,3.0,87278.48,France,Female,1,0,0
59,640.0,74.0,10.0,0.0,2.0,53949.98,France,Male,1,1,1
60,713.0,36.0,10.0,0.0,2.0,45909.869999999995,France,Male,1,1,1
61,529.0,31.0,9.0,152310.55,1.0,95673.05,Spain,Female,1,0,1
62,735.0,44.0,9.0,107805.67,1.0,65323.11,Germany,Female,1,0,1
63,544.0,37.0,3.0,91184.01,1.0,192709.69,France,Male,1,1,1
64,544.0,22.0,10.0,0.0,2.0,135851.3,France,Male,0,1,1
65,597.0,29.0,2.0,129743.75,2.0,45611.50999999999,Germany,Female,1,1,1
66,663.0,40.0,6.0,72945.28999999998,2.0,142514.66,Germany,Male,1,0,1
67,667.0,38.0,6.0,0.0,2.0,36267.20999999999,France,Female,1,0,1
68,560.0,30.0,3.0,141099.43,1.0,134691.2,Spain,Male,0,1,1
69,581.0,49.0,4.0,180614.04,1.0,522.9999999999999,France,Male,1,1,1
70,676.0,40.0,2.0,95053.1,2.0,123202.99000000002,Germany,Male,0,0,0
71,462.00000000000006,34.0,2.0,113090.4,1.0,1950.929999999997,Spain,Male,1,0,1
72,601.0,38.0,9.0,0.0,2.0,119348.28,France,Male,1,1,1
73,714.0,29.0,10.0,87946.39,2.0,198017.05,France,Male,0,1,1
74,693.0,47.0,9.0,108589.47,1.0,155921.81,France,Male,0,0,1
75,774.0,36.0,9.0,121532.17,2.0,118971.73999999999,Germany,Female,1,0,1
76,605.0,29.0,7.0,134837.58,2.0,86460.28,Germany,Female,1,0,1
77,512.0,43.0,9.0,0.0,1.0,11959.03000000001,Spain,Male,1,0,1
78,727.0,28.0,2.0,142243.54,1.0,60407.93,France,Female,1,0,1
79,782.0,33.0,3.0,0.0,2.0,176920.99999999997,Spain,Male,1,1,1
